-0.385843,1.86327,1.93396,0.679524,0.723132,-0.123807,3.47071
-0.386768,1.84281,1.92759,0.67984,0.723005,-0.122804,3.47485
-0.374333,1.83301,1.9242,0.679451,0.722888,-0.125617,3.4764
-0.369563,1.80004,1.93982,0.678931,0.723735,-0.123532,3.47253
-0.362354,1.77362,1.94442,0.678636,0.724146,-0.122745,3.47134
-0.352067,1.7455,1.94766,0.678215,0.724593,-0.122434,3.46883
-0.3341,1.71586,1.95468,0.677307,0.725361,-0.122909,3.46127
-0.333937,1.70968,1.94123,0.677841,0.724596,-0.124469,3.46911
-0.32761,1.68287,1.94809,0.677479,0.725014,-0.124003,3.46657
-0.327157,1.66495,1.94586,0.678037,0.724533,-0.123763,3.46915
-0.328559,1.64677,1.94898,0.678569,0.724148,-0.123104,3.47118
-0.31789,1.62494,1.96028,0.678095,0.724522,-0.123511,3.46628
-0.321118,1.61218,1.96075,0.678491,0.724199,-0.123235,3.46988
-0.322059,1.59988,1.96285,0.678833,0.723866,-0.123308,3.47271
-0.313556,1.58214,1.9733,0.678097,0.724421,-0.124093,3.4689
-0.310601,1.56116,1.98772,0.677752,0.724939,-0.122946,3.46541
-0.317132,1.5469,1.99,0.678061,0.724955,-0.121133,3.46904
-0.316262,1.54364,1.98804,0.677693,0.725092,-0.122368,3.47309
-0.322568,1.54479,1.98716,0.677557,0.724997,-0.123676,3.4818
-0.303136,1.51951,2.01103,0.675673,0.726583,-0.12467,3.47139
-0.312904,1.51229,2.01747,0.675561,0.726905,-0.123398,3.47709
-0.310693,1.52164,2.02293,0.674962,0.726891,-0.12671,3.48424
-0.303037,1.49652,2.04904,0.673725,0.728216,-0.125686,3.47839
-0.3089,1.48683,2.06348,0.673186,0.728921,-0.124481,3.48107
-0.308012,1.48735,2.0804,0.672218,0.729622,-0.1256,3.48425
-0.302199,1.47518,2.10564,0.670873,0.730865,-0.125562,3.48227
-0.310154,1.47155,2.12113,0.670017,0.731748,-0.124986,3.48824
-0.308783,1.46721,2.1405,0.668888,0.732694,-0.125489,3.49062
